Coordinate X,Coordinate Y,ID,Depth (cm),pH H2O,pH K2O,P (mg/dm3),K (mg/dm3),Na (mg/dm3),Ca (cmolc/dm3),Mg (cmolc/dm3),Al (cmolc/dm3),H+Al(cmolc/dm3),Fe (mg/dm3),Zn (mg/dm3),Mn (mg/dm3),Cu (mg/dm3)
808026,9640239.5,261,80,4.91,4.06,52,2,1,0.53,0.05,0.7,2.64,31,0.45,2.06,0.28
807946.1,9640336.8,1,100,5.15,4.33,4,3,1,0.15,0.04,0.45,0.59,14,0.25,0.13,0.07
807960.2,9640321,6,100,5.12,4.22,131,2,1,0.77,0.04,0.25,2.89,21,0.7,1.39,0.31
807986.8,9640272.5,11,100,5.01,4.17,89,1,1,0.43,0.15,0.44,1.8,18,0.65,0.6,0.18
807956.8,9640230.2,16,100,4.86,4.04,91,3,1,0.33,0.11,0.63,1.7,23,0.81,1.33,0.29
807927.4,9640186.8,21,100,4.97,4.08,100,3,1,0.47,0.08,0.78,3.35,24,1.43,1.85,0.58
807953.4,9640172.5,26,100,5.09,4.38,103,1,1,0.89,0.17,0.31,2.34,23,1.18,1.67,0.5
807901.9,9640201.6,31,100,4.96,4.09,126,3,2,0.74,0.06,0.54,2.74,25,1.84,6.16,1.41
807898.9,9640145.4,36,100,5.76,4.43,323,9,2,1.61,0.36,0.27,2.52,31,4.4,7.04,2.59
807840.7,9640153.4,41,100,4.99,4.11,128,8,1,0.85,0.05,0.38,1.44,25,2.35,8.76,0.81
807873.5,9640106.8,46,100,5.33,4.48,124,2,2,1.25,0.05,0.05,2.38,29,1.46,3.88,0.84
807859.7,9640087.6,51,100,5.51,4.57,225,4,2,2.31,0.1,0,2.44,54,5.61,7.92,2.3
807969,9640158.7,56,100,5.2,4.38,87,1,1,0.91,0.13,0.1,2.66,31,1.18,1.66,0.79
807998,9640199.8,61,100,4.55,4.06,51,3,1,0.19,0.1,0.77,1.75,22,0.69,0.52,0.17
807939.9,9640116.3,66,100,4.99,4.18,190,4,1,0.61,0.11,0.31,1.86,24,1.3,1.42,0.88
807909.3,9640072.3,71,100,4.85,4.14,219,4,1,0.65,0.12,0.33,2.33,20,0.98,1.43,0.4
